Country,Articles,SCP,MCP,Freq,MCP_Ratio
UNKNOWN,651,651,0,0.5573630136986302,0
CHILE,124,124,0,0.10616438356164383,0
BRAZIL,116,116,0,0.09931506849315068,0
ARGENTINA,49,49,0,0.04195205479452055,0
MEXICO,43,43,0,0.036815068493150686,0
STATES,34,34,0,0.02910958904109589,0
SPAIN,32,32,0,0.0273972602739726,0
COLOMBIA,16,16,0,0.0136986301369863,0
PERU,16,16,0,0.0136986301369863,0
KINGDOM,12,12,0,0.010273972602739725,0
URUGUAY,11,11,0,0.009417808219178082,0
ECUADOR,10,10,0,0.008561643835616438,0
ITALY,10,10,0,0.008561643835616438,0
GERMANY,8,8,0,0.00684931506849315,0
RICA,7,7,0,0.0059931506849315065,0
FRANCE,6,6,0,0.005136986301369863,0
NETHERLANDS,3,3,0,0.0025684931506849314,0
BARBADOS,2,2,0,0.0017123287671232876,0
CHINA,2,2,0,0.0017123287671232876,0
SWITZERLAND,2,2,0,0.0017123287671232876,0
TOBAGO,2,2,0,0.0017123287671232876,0
VENEZUELA,2,2,0,0.0017123287671232876,0
APEX,1,1,0,8.561643835616438e-4,0
AUSTRALIA,1,1,0,8.561643835616438e-4,0
AZERBAIJAN,1,1,0,8.561643835616438e-4,0
GUATEMALA,1,1,0,8.561643835616438e-4,0
IG,1,1,0,8.561643835616438e-4,0
JAMAICA,1,1,0,8.561643835616438e-4,0
NEVIS,1,1,0,8.561643835616438e-4,0
REPUBLIC,1,1,0,8.561643835616438e-4,0
SPE,1,1,0,8.561643835616438e-4,0
TUNISIA,1,1,0,8.561643835616438e-4,0
