Country,Articles,SCP,MCP,Freq,MCP_Ratio
CHILE,149,149,0,0.216255442670537,0
BRAZIL,128,128,0,0.18577648766328012,0
UNKNOWN,96,96,0,0.13933236574746008,0
ARGENTINA,55,55,0,0.07982583454281568,0
MEXICO,50,50,0,0.07256894049346879,0
UNITED STATES,42,42,0,0.06095791001451379,0
SPAIN,37,37,0,0.05370101596516691,0
COLOMBIA,17,17,0,0.02467343976777939,0
PERU,16,16,0,0.023222060957910014,0
UNITED KINGDOM,13,13,0,0.018867924528301886,0
URUGUAY,13,13,0,0.018867924528301886,0
ECUADOR,11,11,0,0.015965166908563134,0
ITALY,10,10,0,0.01451378809869376,0
COSTA RICA,9,9,0,0.013062409288824383,0
GERMANY,8,8,0,0.011611030478955007,0
FRANCE,7,7,0,0.010159651669085631,0
NETHERLANDS,3,3,0,0.0043541364296081275,0
SWITZERLAND,3,3,0,0.0043541364296081275,0
BARBADOS,2,2,0,0.002902757619738752,0
CHINA,2,2,0,0.002902757619738752,0
GUATEMALA,2,2,0,0.002902757619738752,0
TRINIDAD AND TOBAGO,2,2,0,0.002902757619738752,0
VENEZUELA,2,2,0,0.002902757619738752,0
APEX,1,1,0,0.001451378809869376,0
AUSTRALIA,1,1,0,0.001451378809869376,0
AZERBAIJAN,1,1,0,0.001451378809869376,0
CUBA,1,1,0,0.001451378809869376,0
DOMINICAN REPUBLIC,1,1,0,0.001451378809869376,0
IPC-IG,1,1,0,0.001451378809869376,0
JAMAICA,1,1,0,0.001451378809869376,0
MINISTRY OF FOREIGN AFFAIRS,1,1,0,0.001451378809869376,0
REGULATIONS AREA FUNDACIÓN,1,1,0,0.001451378809869376,0
SAINT KITTS AND NEVIS,1,1,0,0.001451378809869376,0
SPE,1,1,0,0.001451378809869376,0
TUNISIA,1,1,0,0.001451378809869376,0
